session_id,date,duration_hrs,active_hrs,bank_hrs,trips,total_kills,total_attacks,actual_supply_cost,rng_variance_gp,t_ngp_hr,astb,miss_per_hr,delta_kph,config_weapon_Dragon hunter crossbow,config_ammo_Diamond bolts (e),config_ammo_Dragonstone bolts (e),config_ammo_Pearl dragon bolts (e),config_ammo_Runite Bolts,config_ring_Archers ring (i),config_ring_Ring of the gods (i),config_back_Ava's assembler,config_back_Ranging cape (t),config_feet_Devout Boots,config_feet_Pegasian boots,config_feet_Saradomin d'hide boots,config_prayer_Rigour,config_tele_Xeric's Talisman,config_bank_Ring of dueling,config_bones_Bonecrusher necklace,config_bones_Pick up bones,config_pray_restore_Moonlight Moth,config_pray_restore_Prayer Potions,config_hands_Saradomin bracers,config_hands_Zaryte vambraces,config_head_Masori mask (f),config_head_Saradomin coif,config_body_Masori body (f),config_body_Saradomin d'hide body,config_legs_Masori chaps (f),config_legs_Saradomin chaps
session_1771819568,2026-02-22,0.7062298519444444,0.6310515895154741,0.05718958222222222,5,50,741,127616.25,-33784.834289005026,1555066.783519932,41.1764992,25.354503919853705,-3.7342224339128336,True,True,False,False,False,False,True,False,True,False,True,False,True,True,True,True,False,False,True,False,True,True,False,True,False,True,False
session_1771822294,2026-02-22,1.5646296825000001,1.3933706910742654,0.15085477055555557,12,113,1631,266101.0,55149.11450684862,1600584.415279461,45.256431166666665,29.425048382774357,-1.5667039347927982,True,True,False,False,False,False,True,False,True,False,True,False,True,True,True,True,False,False,True,False,True,True,False,True,False,True,False
session_1772238189,2026-02-27,2.0072233294444444,1.8318683850765227,0.1600088866666667,15,139,2123,0.0,252196.68067656597,1697800.7725062945,38.40213280000001,40.94180597852668,-5.54408547241826,True,True,False,False,False,False,True,False,True,True,False,False,True,True,True,True,False,False,True,False,True,True,False,True,False,True,False
session_1772258083,2026-02-27,0.9503895575,0.8233847393592199,0.11052835055555557,9,66,947,146605.75,-38534.101261486765,1692360.0838927429,44.211340222222226,49.79446185984368,-0.47962577347058755,True,True,False,False,False,False,True,False,True,True,False,False,True,True,True,False,True,False,True,False,True,True,False,True,False,True,False
session_1772262001,2026-02-28,0.3992955325,0.3370207620329327,0.048486914166666666,3,27,391,52403.75,-67915.45051606279,1666819.8022377393,58.184296999999994,38.57329121678764,-1.2476994048330567,True,True,False,False,False,False,True,False,True,True,False,False,True,True,True,False,True,True,False,False,True,True,False,True,False,True,False
session_1772300568,2026-02-28,0.4721234602777778,0.4240444746282366,0.03281590777777778,3,34,491,479751.0,-50185.567316523404,749438.6470613979,39.37908933333333,40.09013444852464,-1.0164265184536845,True,True,False,False,False,False,True,False,True,True,False,False,True,True,True,True,False,False,True,False,True,True,False,True,False,True,False
session_1772302370,2026-02-28,2.2391876894444445,1.9439624639352162,0.2787373616666667,22,155,2233,387697.0,-42952.58629591577,1667529.0793610609,45.611568272727276,50.92690925708082,-1.409868022444087,True,True,False,False,False,False,True,False,True,False,True,False,True,True,True,False,True,False,True,False,True,True,False,True,False,True,False
session_1772342338,2026-02-28,1.1831389733333335,1.0416979559262594,0.12339040166666666,11,84,1220,199996.75,-164926.4016055283,1718858.6442013648,40.382313272727274,28.79913494053517,-1.4891987130381494,True,True,False,False,False,False,True,False,True,True,False,False,True,True,True,False,True,False,True,False,True,True,False,True,False,True,False
session_1772391319,2026-03-01,1.4537222702777777,1.2891231669982275,0.1528535936111111,14,102,1503,252813.25,-31812.701949570328,1691843.4161977954,39.30520978571428,33.356005927755646,-4.277159965782715,True,False,False,False,True,False,True,True,False,True,False,False,True,True,True,False,True,False,True,False,True,True,False,True,False,True,False
session_1772509607,2026-03-02,1.9628295819444443,1.7038196347819434,0.24361555055555556,19,141,1999,360947.5,41213.647305005696,1726276.1290454704,46.15873589473684,26.41124628532594,-1.0719645537054134,True,False,False,False,True,False,True,True,False,True,False,False,True,True,True,False,True,False,True,False,True,True,False,True,False,True,False
