item_id,priced_days,volume_days,trailing_60d_total_val,trailing_60d_avg_daily_val,eligible,exclusion_reason,rank,selected,weighting_basis_sqrt_val,rebalance_date,item_name
237,60,60,993892998,16564883.3,True,,1574.0,False,4069.9979484024316,2026-03-02,Unicorn horn
239,60,60,15200783167,253346386.11666667,True,,768.0,False,15916.85855050131,2026-03-02,White berries
241,60,60,949545947,15825765.783333333,True,,1587.0,False,3978.1611057539303,2026-03-02,Dragon scale dust
243,60,60,203648446,3394140.7666666666,True,,2143.0,False,1842.319398656668,2026-03-02,Blue dragon scale
245,60,60,45860583496,764343058.2666667,True,,501.0,False,27646.754931938514,2026-03-02,Wine of zamorak
247,60,60,1206224650,20103744.166666668,True,,1502.0,False,4483.719902789052,2026-03-02,Jangerberries
249,60,60,6177515054,102958584.23333333,True,,991.0,False,10146.850951567847,2026-03-02,Guam leaf
251,60,60,2636405601,43940093.35,True,,1251.0,False,6628.732408990425,2026-03-02,Marrentill
253,60,60,6073724219,101228736.98333333,True,,997.0,False,10061.24927547933,2026-03-02,Tarromin
255,60,60,16267905423,271131757.05,True,,747.0,False,16466.078982259256,2026-03-02,Harralander
257,60,60,161781189758,2696353162.633333,True,,246.0,False,51926.420660713105,2026-03-02,Ranarr weed
259,60,60,27216092426,453601540.43333334,True,,620.0,False,21297.923383121964,2026-03-02,Irit leaf
261,60,60,46542412937,775706882.2833333,True,,497.0,False,27851.51490104862,2026-03-02,Avantoe
263,60,60,39907403102,665123385.0333333,True,,532.0,False,25789.98613868052,2026-03-02,Kwuarm
265,60,60,31093489784,518224829.73333335,True,,587.0,False,22764.552043326777,2026-03-02,Cadantine
267,60,60,41292906988,688215116.4666667,True,,524.0,False,26233.854395926395,2026-03-02,Dwarf weed
269,60,60,127499777240,2124996287.3333333,True,,288.0,False,46097.68201692286,2026-03-02,Torstol
272,60,60,10026729,167112.15,True,,3353.0,False,408.7935297922412,2026-03-02,Fish food
273,60,60,14237908,237298.46666666667,True,,3200.0,False,487.13290452059044,2026-03-02,Poison (item)
288,60,60,102823459,1713724.3166666667,True,,2409.0,False,1309.0929366040696,2026-03-02,Goblin mail
299,60,60,8371050382,139517506.36666667,True,,912.0,False,11811.752891364884,2026-03-02,Mithril seeds
301,60,60,22753733,379228.88333333336,True,,3021.0,False,615.8156244634699,2026-03-02,Lobster pot
303,60,60,55989758,933162.6333333333,True,,2658.0,False,966.0034333962449,2026-03-02,Small fishing net
305,60,60,7658754,127645.9,True,,3451.0,False,357.2756638787478,2026-03-02,Big fishing net
307,60,60,10198218,169970.3,True,,3345.0,False,412.27454444823536,2026-03-02,Fishing rod
309,60,60,15392388,256539.8,True,,3167.0,False,506.49758143548917,2026-03-02,Fly fishing rod
311,60,60,5782957,96382.61666666667,True,,3536.0,False,310.45549868969414,2026-03-02,Harpoon
313,60,60,790789086,13179818.1,True,,1645.0,False,3630.401919898126,2026-03-02,Fishing bait
314,60,60,7523115387,125385256.45,True,,944.0,False,11197.555824821773,2026-03-02,Feather
315,60,60,93590959,1559849.3166666667,True,,2448.0,False,1248.9392766130252,2026-03-02,Shrimps
317,60,60,357877701,5964628.35,True,,1935.0,False,2442.2588622011385,2026-03-02,Raw shrimps
319,60,60,133773126,2229552.1,True,,2325.0,False,1493.1684767634226,2026-03-02,Anchovies
321,60,60,108415650,1806927.5,True,,2392.0,False,1344.2200340718032,2026-03-02,Raw anchovies
325,60,60,57928832,965480.5333333333,True,,2650.0,False,982.588689805319,2026-03-02,Sardine
327,60,60,262049435,4367490.583333333,True,,2051.0,False,2089.8542014536165,2026-03-02,Raw sardine
329,60,60,1513189992,25219833.2,True,,1424.0,False,5021.935204679567,2026-03-02,Salmon
331,60,60,2033626494,33893774.9,True,,1329.0,False,5821.836042005993,2026-03-02,Raw salmon
333,60,60,578849989,9647499.816666666,True,,1759.0,False,3106.0424685871035,2026-03-02,Trout
335,60,60,1325383926,22089732.1,True,,1469.0,False,4699.97149991359,2026-03-02,Raw trout
339,60,60,49551391,825856.5166666667,True,,2702.0,False,908.7664808225855,2026-03-02,Cod
341,60,60,28017715,466961.9166666667,True,,2942.0,False,683.3461177665873,2026-03-02,Raw cod
345,60,60,286813841,4780230.683333334,True,,2019.0,False,2186.3738663214335,2026-03-02,Raw herring
347,60,60,331401000,5523350.0,True,,1965.0,False,2350.1808441054063,2026-03-02,Herring
349,60,60,724907185,12081786.416666666,True,,1672.0,False,3475.8864217155697,2026-03-02,Raw pike
351,60,60,2002950787,33382513.116666667,True,,1334.0,False,5777.760216266046,2026-03-02,Pike
353,60,60,64600913,1076681.8833333333,True,,2599.0,False,1037.6328268387297,2026-03-02,Raw mackerel
355,60,60,13019669,216994.48333333334,True,,3239.0,False,465.8266666189618,2026-03-02,Mackerel
359,60,60,2751536887,45858948.11666667,True,,1236.0,False,6771.923516746676,2026-03-02,Raw tuna
361,60,60,3644558861,60742647.68333333,True,,1151.0,False,7793.756968454516,2026-03-02,Tuna
363,60,60,677159253,11285987.55,True,,1700.0,False,3359.4623900261186,2026-03-02,Raw bass
